SituacaoConvenio|ValorConvenio
Assinado|7947414
Prestacao de Contas em Complementacao|1662395964
Cancelado|1950980905
Prestacao de Contas Aprovada com Ressalvas|2929476323
Rescindido|231067322
Prestacao de Contas enviada para Analise|6989252437
Inadimplencia Suspensa|10234159346
Prestacao de Contas Iniciada por Antecipacao|274359711
Prestacao de Contas em Analise|4602191198
Prestacao de Contas Rejeitada|822747599
Prestacao de Contas Aprovada|14194201992
Anulado|6903883483
Inadimplente|7555133793
Em Execucao|39105519260
Aguardando Prestacao de Contas|5355390178
Arquivado|458695408
Adimplente|137854015935
Excluido|9167500483
Concluido|185511271717
Baixado|741178951
