SituacaoConvenio|ValorLiberado
Prestacao de Contas Iniciada por Antecipacao|254070283
Inadimplencia Suspensa|8822010924
Prestacao de Contas em Analise|4035827883
Prestacao de Contas enviada para Analise|6093735619
Prestacao de Contas Aprovada|13389354302
Inadimplente|6515732719
Baixado|317088681
Prestacao de Contas Aprovada com Ressalvas|2359576436
Concluido|109935427624
Anulado|0
Prestacao de Contas Rejeitada|622146244
Excluido|1031550047
Cancelado|691716010
Adimplente|103037072623
Rescindido|4141739
Aguardando Prestacao de Contas|3119224352
Assinado|0
Em Execucao|21433295689
Arquivado|392424625
Prestacao de Contas em Complementacao|1454629050
